nbFacilities, deadline, successRatio, storage score, total requests, success requests, fail requests, total files, fetch counter, total storage score
120,200.0,0.9592893401015229,1.1103442173259004,39610,37796,1604,22602,25096,25096
130,200.0,0.9725336050856505,1.1211956066068585,41413,40082,1132,23854,26745,26745
140,200.0,0.9855089265012752,1.111879100281162,43284,42505,625,25608,28473,28473
150,200.0,0.9967128962536023,1.1127774445110978,44607,44270,146,26672,29680,29680
1,250.0,0.0772075302554908,0.0,18299,1378,16470,786,0,0
2,250.0,0.12198709969446644,0.24732824427480915,18075,2156,15518,1310,324,324
3,250.0,0.17145237434046098,0.43635382955771307,18393,3087,14918,1854,809,809
4,250.0,0.19468445805534287,0.5352316602316602,18619,3560,14726,2072,1109,1109
5,250.0,0.2588963660834455,0.6569052783803326,18927,4809,13766,2766,1817,1817
6,250.0,0.2746554119029811,0.6795891318754141,19100,5141,13577,3018,2051,2051
7,250.0,0.3170718759953286,0.7007042253521126,19189,5973,12865,3692,2587,2587
8,250.0,0.3034998945814885,0.788056206088993,19351,5758,13214,3416,2692,2692
9,250.0,0.427547522592708,0.8067143424711959,19599,8232,11022,5034,4061,4061
10,250.0,0.5001805333470882,0.8328151986183074,19699,9697,9690,5790,4822,4822
11,250.0,0.47520343927529557,0.8842525399129173,19826,9285,10254,5512,4874,4874
12,250.0,0.5998574555821412,0.8807713963963963,19971,11783,7860,7104,6257,6257
13,250.0,0.5618900617406891,0.8878850710900474,20390,11285,8799,6752,5995,5995
14,250.0,0.5565528742397489,0.894239162059936,20694,11347,9041,6874,6147,6147
15,250.0,0.6231862816942694,0.910843685300207,20773,12756,7713,7728,7039,7039
16,250.0,0.6459645383199303,0.9237835153922542,20961,13334,7308,8056,7442,7442
17,250.0,0.6733372285519524,0.9814496314496315,20833,13829,6709,8140,7989,7989
18,250.0,0.7123399357344972,0.9743560519717347,21086,14853,5998,8774,8549,8549
19,250.0,0.750833095306103,0.9640680815297331,21247,15772,5234,9518,9176,9176
20,250.0,0.7549917782475922,0.9670756646216769,21562,16070,5215,9780,9458,9458
25,250.0,0.832245955849495,1.0041822388325325,22632,18624,3754,11238,11285,11285
